Year,Change_Net_Income,Change_Cash_Operations,Change_Cash_Investments,Change_Cash_Financials,Change_Cash_Equivalents
2015-03-31,-154.181,-131.794,-432.344,186.156,-395.637
2015-06-30,-184.227,-159.516,-422.837,218.351,-359.403
2015-09-30,-229.858,-203.34,-404.09,893.978,275.363
2015-12-31,-320.397,-29.849,-414.28,225.038,-229.128
2016-03-31,-282.267,-249.605,-233.819,715.435,244.881
2016-06-30,-293.188,150.336,-319.854,1976.584,1804.512
2016-09-30,21.878,423.649,-268.006,-320.87,-162.044
2016-12-31,-219.469,-448.209,-594.751,1372.827,308.959
2017-03-31,-397.181,-69.811,-926.943,1598.749,613.377
2017-06-30,-401.427,-200.172,-1215.216,428.767,-970.669
2017-09-30,-671.163,-300.562,-1314.932,2101.506,494.106
2017-12-31,-770.807,509.891,-961.876,285.842,-162.116
2018-03-31,-784.627,-398.376,-728.637,371.66,-745.251
2018-06-30,-742.706,-129.664,-682.817,398.622,-436.47
2018-09-30,254.673,1391.281,-560.965,-84.218,739.728
2018-12-31,210.078,1234.561,-365.009,-112.309,753.422
2019-03-31,-667.645,-639.606,-305.843,-653.019,-1593.59
2019-06-30,-389.262,863.606,-241.545,2142.841,2765.495
2019-09-30,149.907,756,-485.612,118.178,377.095
2019-12-31,132,1425,-403,-79,957
2020-03-31,68,-440,-480,2708,1764
2020-06-30,129,964,-566,123,559
2020-09-30,369,2400,-1039,4450,5897
2020-12-31,296,3019,-1047,2692,4898
